,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
19,,,,,,,,,,,,Schaumburg,"Schaumburg, Ill.",6-1,,,,,,Cameron Mager,24,,D,,175,,,,So.,,2015  Men\'s Lacrosse Roster
20,,,,,,,,,,,,St. Thomas Aquinas,"Overland Park, Kan.",5-10,,,,,,Scott Davis 2,25,,M,,165,,,,Jr.,,2015  Men\'s Lacrosse Roster
21,,,,,,,,,,,,Hudson,"Hudson, Wis.",5-10,,,,,,McKay Potter,26,,M,,165,,,,Fr.,,2015  Men\'s Lacrosse Roster
22,,,,,,,,,,,,Hoffman Estates,"Hoffman Estates, Ill.",5-11,,,,,,Evan Chikeles 2,27,,M,,180,,,,Sr.,,2015  Men\'s Lacrosse Roster
23,,,,,,,,,,,,New Trier,"Kenilworth, Ill.",5-10,,,,,,Taylor McGinnis 1,29,,D,,200,,,,Sr.,,2015  Men\'s Lacrosse Roster
24,,,,*,,,,,,,,Downers Grove South,"Bolingbrook, Ill.",5-9,,,,,,Mike McAleer 1,30,,M,,160,,,,Sr.,,2015  Men\'s Lacrosse Roster
25,,,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",5-9,,,,,,Jake Ellis,33,,G,,195,,,,Fr.,,2015  Men\'s Lacrosse Roster
26,,,,*,,,,,,,,Hoffman Estates,"Hoffman Estates, Ill.",5-9,,,,,,Jon Pape 1,34,,G,,190,,,,Sr.,,2015  Men\'s Lacrosse Roster
27,,,,,,,,,,,,Maine South,"Park Ridge, Ill.",5-10,,,,,,Jack Peters,35,,G,,160,,,,Jr.,,2015  Men\'s Lacrosse Roster
28,,,,,,,,,,,,Waukesha North,"Waukesha, Wis.",5-9,,,,,,Andrew Miller,36,,A,,155,,,,Jr.,,2015  Men\'s Lacrosse Roster
29,,,,,,,,,,,,Thomas Jefferson,"Bloomington, Minn.",6-5,,,,,,Taylor Johnson,37,,M,,195,,,,Fr.,,2015  Men\'s Lacrosse Roster
30,,,,,,,,,,,,Webster Groves,"Webster Groves, Mo.",6-0,,,,,,Jon Herdler,38,,D,,170,,,,Jr.,,2015  Men\'s Lacrosse Roster
31,,,,,,,,,,,,St. Charles North,"St. Charles, Ill.",6-0,,,,,,Cameron MacKenzie,40,,M,,175,,,,Fr.,,2015  Men\'s Lacrosse Roster
32,,,,,,,,,,,,Denver East,"Denver, Colo.",6-0,,,,,,Daniel Fulton 2,42,,D,,170,,,,Jr.,,2015  Men\'s Lacrosse Roster
33,,,,,,,,,,,,Peak to Peak,"Erie, Colo.",5-8,,,,,,Kyle Doner,43,,A,,150,,,,Jr.,,2015  Men\'s Lacrosse Roster
34,,,,,,,,,,,,Lockport High School,"Lockport, Ill.",5-7,,,,,,John Danko,44,,A,,145,,,,Fr.,,2015  Men\'s Lacrosse Roster
35,,,,,,,,,,,,Shakopee,"Shakopee, Minn.",5-10,,,,,,Zachary Carlson,45,,D,,185,,,,Fr.,,2015  Men\'s Lacrosse Roster
36,,,,,,,,,,,,Marina,"Huntington Beach, Calif.",6-5,,,,,,Jake Self 3,47,,D,,190,,,,Sr.,,2015  Men\'s Lacrosse Roster
0,,,,,,,,,,,,Byron,"Byron, Ill.",5-9,,,,,,Hunter Hill 2,14.0,,G,,163,,,,Jr.,,2014-15  Men\'s Basketball Roster
1,,,,*,,,,,,,,Washington,"Metamora, Ill.",6-1,,,,,,Mark Roth 3,20.0,,G,,167,,,,Sr.,,2014-15  Men\'s Basketball Roster
2,,,,,,,,,,,,Highland Park,"Highland Park, Ill.",6-0,,,,,,Jake Norcia 2,22.0,,G,,171,,,,Jr.,,2014-15  Men\'s Basketball Roster
3,,,,,,,,,,,,Plainfield East,"Bolingbrook, Ill.",6-1,,,,,,Jawan Straughter 2,23.0,,G,,175,,,,Jr.,,2014-15  Men\'s Basketball Roster
4,,,,,,,,,,,,Libertyville,"Libertyville, Ill.",6-4,,,,,,Griffin Pils 2,24.0,,G,,213,,,,Jr.,,2014-15  Men\'s Basketball Roster
5,,,,,,,,,,,,United Township,"East Moline, Ill.",6-6,,,,,,Tayvian Johnson 2,25.0,,F,,201,,,,Jr.,,2014-15  Men\'s Basketball Roster
6,,,,,,,,,,,,Bettendorf,"Bettendorf, Iowa",6-2,,,,,,Dylan Sortillo,30.0,,G,,178,,,,Fr.,,2014-15  Men\'s Basketball Roster
7,,,,*,,,,,,,,Downers Grove South,"Darien, Ill.",6-0,,,,,,Danielius Jurgutis 3,32.0,,G,,197,,,,Sr.,,2014-15  Men\'s Basketball Roster
8,,,,,,,,,,,,Washington,"Washington, Ill.",6-5,,,,,,Ben Ryan 2,34.0,,F,,209,,,,Jr.,,2014-15  Men\'s Basketball Roster
9,,,,,,,,,,,,United Township,"East Moline, Ill.",6-6,,,,,,Nic Hoepfner 2,40.0,,F,,220,,,,Sr.,,2014-15  Men\'s Basketball Roster
10,,,,,,,,,,,,Carmel,"Buffalo Grove, Ill.",6-7,,,,,,Brandon Motzel 2,42.0,,F,,207,,,,Jr.,,2014-15  Men\'s Basketball Roster
11,,,,,,,,,,,,Iowa City West,"North Liberty, Iowa",6-6,,,,,,Jake Gylten 2,44.0,,F,,228,,,,Jr.,,2014-15  Men\'s Basketball Roster
12,,,,,,,,,,,,Erie,"Cordova, Ill.",6-5,,,,,,Jacob Johnston 1,45.0,,G,,191,,,,So.,,2014-15  Men\'s Basketball Roster
13,,,,,,,,,,,,Riverside-Brookfield,"Brookfield, Ill.",6-9,,,,,,Alex Dziagwa 2,50.0,,C,,196,,,,Sr.,,2014-15  Men\'s Basketball Roster
14,,,,,,,,,,,,Bishop McNamara,"Saint Anne, Ill.",6-7,,,,,,Michael Hoekstra 1,52.0,,F,,201,,,,So.,,2014-15  Men\'s Basketball Roster
15,,,,,,,,,,,,Maynard Evans,"Mulberry, Fla.",5-9,,,,,,Jordan Hathorn-Schaaf,,,G,,150,,,,So.,,2014-15  Men\'s Basketball Roster
16,,,,,,,,,,,,Conant,"Elk Grove Village, Ill.",5-11,,,,,,Joseph Ranallo,,,G,,165,,,,Fr.,,2014-15  Men\'s Basketball Roster
17,,,,,,,,,,,,Wilmot,"Twin Lakes, Wis.",6-0,,,,,,Brandon Schattner,,,G,,164,,,,Fr.,,2014-15  Men\'s Basketball Roster
18,,,,*,,,,,,,,Maine South,"Park Ridge, Ill.",6-8,,,,,,Kevin Schlitter 2,,,C,,261,,,,Sr.,,2014-15  Men\'s Basketball Roster
0,,,,,,,Breaststroke/Freestyle,,,,,Midland,"Charleston, Ill.",,,,,,,Mackenzie Corrie 3,,,,,,,,,Sr.,,2014-15  Women\'s Swimming and Diving Roster
1,,,,,,,Backstroke,,,,,Coal City,"Coal City, Ill.",,,,,,,Brittney Crawford 1,,,,,,,,,So.,,2014-15  Women\'s Swimming and Diving Roster
2,,,,,,,Freestyle,,,,,James Madison Memorial,"Madison, Wis.",,,,,,,Alyssa Diaczun,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
3,,,,*,,,Breaststroke/Freestyle,,,,,Lincoln-Way Central,"Putnam, Ill.",,,,,,,Jamie Graf 2,,,,,,,,,Sr.,,2014-15  Women\'s Swimming and Diving Roster
4,,,,,,,Freestyle,,,,,University,"Bloomington, Ill.",,,,,,,Sara Hovren,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
5,,,,,,,Breaststroke,,,,,Appleton North,"Appleton, Wisc.",,,,,,,Jordan Johnson 2,,,,,,,,,Jr.,,2014-15  Women\'s Swimming and Diving Roster
6,,,,,,,Backstroke/ Free,,,,,Harry D. Jacobs,"Algonquin, Ill.",,,,,,,Christine Marchi,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
7,,,,,,,Diving,,,,,Lincoln-Way East,"Mokena, Ill.",,,,,,,Megan McGregor,,,,,,,,,Jr.,,2014-15  Women\'s Swimming and Diving Roster
8,,,,,,,Distance,,,,,Romeoville,"Romeoville, Ill.",,,,,,,Elena McNab,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
9,,,,*,,,Butterfly/I.M./Freestyle,,,,,Eden Prairie,"Eden Prairie, Minn.",,,,,,,Emma Novak 2,,,,,,,,,Jr.,,2014-15  Women\'s Swimming and Diving Roster
10,,,,,,,Freestyle,,,,,Plainfield East,"Romeoville, Ill.",,,,,,,Nicole Olsen,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
11,,,,,,,Backstroke/ Fly/ I.M.,,,,,Moline,"Coal Valley, Ill.",,,,,,,Allison Patch 1,,,,,,,,,So.,,2014-15  Women\'s Swimming and Diving Roster
12,,,,,,,Breaststroke/Freestyle,,,,,Fremont,"Fremont, Neb.",,,,,,,Laura Pemberton 3,,,,,,,,,Sr.,,2014-15  Women\'s Swimming and Diving Roster
13,,,,,,,Freestyle,,,,,Lincoln Way West,"New Lenox, Ill.",,,,,,,Lisa Pohlman-Zordan,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
14,,,,,,,Distance/ I.M.,,,,,Edwardsville,"Glen Carbon, Ill.",,,,,,,Kristin Schoenecker,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
15,,,,*,,,Butterfly/Freestyle,,,,,Crystal Lake Central,"Village of Lakewood, Ill.",,,,,,,Alexis Thompson 3,,,,,,,,,Sr.,,2014-15  Women\'s Swimming and Diving Roster
16,,,,,,,Freestyle,,,,,Lake County Lutheran,"Dousman, Wisc.",,,,,,,Victoria Witkowski,,,,,,,,,Fr.,,2014-15  Women\'s Swimming and Diving Roster
0,,,,,,,I.M./Butterfly/Breaststroke,,,,,Boylan Catholic,"Belvidere, Ill.",,,,,,,Adam Bernardi 2,,,,,,,,,Jr.,,2014-15  Men\'s Swimming and Diving Roster
1,,,,,,,Breaststroke,,,,,Pleasant Valley,"Bettendorf, Iowa",,,,,,,Robert Chaney,,,,,,,,,So.,,2014-15  Men\'s Swimming and Diving Roster
2,,,,,,,Breaststroke/I.M.,,,,,Glenbard West,"Glen Ellyn, Ill.",,,,,,,Bryce Dibadj,,,,,,,,,So.,,2014-15  Men\'s Swimming and Diving Roster
3,,,,,,,Breaststroke/I.M.,,,,,Brother Rice,"Oak Forest, Ill.",,,,,,,Ian Disteldorf,,,,,,,,,So.,,2014-15  Men\'s Swimming and Diving Roster
4,,,,,,,Freestyle,,,,,Oswego,"Oswego, Ill.",,,,,,,Timothy Durning,,,,,,,,,So.,,2014-15  Men\'s Swimming and Diving Roster
5,,,,*,,,Middle Distance Freestyle,,,,,Marmion Academy,"Aurora, Ill.",,,,,,,Michael Duy 3,,,,,,,,,Sr.,,2014-15  Men\'s Swimming and Diving Roster
6,,,,,,,Backstroke/Breaststroke,,,,,United Township,"East Moline, Ill.",,,,,,,Felipe Hernandez 2,,,,,,,,,Jr.,,2014-15  Men\'s Swimming and Diving Roster
7,,,,*,,,Butterfly/Backstroke/I.M.,,,,,Mount Vernon,"Mount Vernon, Ill.",,,,,,,Aaron Holt 3,,,,,,,,,Sr.,,2014-15  Men\'s Swimming and Diving Roster
8,,,,,,,Backstroke,,,,,Shadow Mountain,"Phoenix, Ariz.",,,,,,,Kyle Johnson 2,,,,,,,,,Jr.,,2014-15  Men\'s Swimming and Diving Roster
9,,,,,,,Freestyle,,,,,Riverton,"Riverton, Ill.",,,,,,,Brandon Marcy,,,,,,,,,Fr.,,2014-15  Men\'s Swimming and Diving Roster
10,,,,,,,Freestyle,,,,,Pella,"Pella, Iowa",,,,,,,Timothy Michaels 3,,,,,,,,,Sr.,,2014-15  Men\'s Swimming and Diving Roster
11,,,,,,,I.M./Butterfly,,,,,Oak Forest,"Oak Forest, Ill.",,,,,,,Alexander Putz 3,,,,,,,,,Sr.,,2014-15  Men\'s Swimming and Diving Roster
12,,,,,,,Breaststroke,,,,,Moline,"Moline, Ill.",,,,,,,Matthew Roche,,,,,,,,,So.,,2014-15  Men\'s Swimming and Diving Roster
13,,,,,,,Freestyle,,,,,Boylan Catholic,"Rockford, Ill.",,,,,,,Miguel Rodriguez,,,,,,,,,Fr.,,2014-15  Men\'s Swimming and Diving Roster
14,,,,,,,Backstroke,,,,,Morris,"Morris, Ill.",,,,,,,Austin Small 2,,,,,,,,,Jr.,,2014-15  Men\'s Swimming and Diving Roster
15,,,,,,,I.M./Butterfly/Freestyle,,,,,Westlake,"Thousand Oaks, Calif.",,,,,,,David Sommers 2,,,,,,,,,Jr.,,2014-15  Men\'s Swimming and Diving Roster
16,,,,,,,Freestyle,,,,,Lockport,"Lockport, Ill.",,,,,,,Jacob Speechley,,,,,,,,,Fr.,,2014-15  Men\'s Swimming and Diving Roster
17,,,,,,,Breaststroke,,,,,,"Stockholm, Sweden",,,,,,,Victor Wagstrom,,,,,,,,,Fr.,,2014-15  Men\'s Swimming and Diving Roster
18,,,,,,,Diving,,,,,School of Environmental Studies,"Apple Valley, Minn.",,,,,,,Josh Wielenga 3,,,,,,,,,Sr.,,2014-15  Men\'s Swimming and Diving Roster
19,,,,,,,Butterfly/ I.M.,,,,,Taunton,"Bradford on Tone, United Kingdom",,,,,,,Chris Wilson,,,,,,,,,Fr.,,2014-15  Men\'s Swimming and Diving Roster
0,,,,,,,,,,,,Pueblo South,"Pueblo, Colo.",,,,,,,Davis Baxter,,,,,133,,,,Fr.,,2014-15  Wrestling Roster
1,,,,,,,,,,,,Marist,"Oak Lawn, Ill.",,,,,,,Ethan Benoit,,,,,197,,,,So.,,2014-15  Wrestling Roster
2,,,,,,,,,,,,Noblesville,"Noblesville, Ind.",,,,,,,Alex Bowers 3,,,,,174,,,,Sr.,,2014-15  Wrestling Roster
3,,,,,,,,,,,,Sherrard,"Viola, Ill.",,,,,,,Ben Corlett,,,,,HWT,,,,Fr.,,2014-15  Wrestling Roster
4,,,,*,,,,,,,,Downers Grove North,"Woodridge, Ill.",,,,,,,Connor Cummings 3,,,,,165,,,,Sr.,,2014-15  Wrestling Roster
5,,,,,,,,,,,,Limestone,"Bartonville, Ill.",,,,,,,Ben Deig 2,,,,,165,,,,Jr.,,2014-15  Wrestling Roster
6,,,,,,,,,,,,Buffalo Grove,"Buffalo Grove, Ill",,,,,,,Brian Egan,,,,,141,,,,So.,,2014-15  Wrestling Roster
7,,,,,,,,,,,,Gordon Tech,"Chicago, Ill.",,,,,,,Eric Estrada,,,,,133,,,,Fr.,,2014-15  Wrestling Roster
8,,,,,,,,,,,,Valley Christian,"San Jose, Calif.",,,,,,,Jordan Furiosi,,,,,165,,,,So.,,2014-15  Wrestling Roster
9,,,,,,,,,,,,Lemont,"Lemont, Ill.",,,,,,,Christos Giatras,,,,,197,,,,So.,,2014-15  Wrestling Roster
10,,,,,,,,,,,,Assumption,"Davenport, Iowa",,,,,,,Brendan Gould,,,,,133,,,,Fr.,,2014-15  Wrestling Roster
11,,,,,,,,,,,,Arapahoe,"Centennial, Colo.",,,,,,,Seth Hardcastle 2,,,,,157,,,,Jr.,,2014-15  Wrestling Roster
12,,,,,,,,,,,,J. K. Mullen,"Lakewood, Colo.",,,,,,,Vince Hoffman,,,,,125,,,,Fr.,,2014-15  Wrestling Roster
13,,,,,,,,,,,,Litchfield,"Litchfield, Ill.",,,,,,,Frank Hollo,,,,,197,,,,Jr.,,2014-15  Wrestling Roster
14,,,,,,,,,,,,Lisle,"Lisle, Ill.",,,,,,,Ryan Kilroy,,,,,141,,,,So.,,2014-15  Wrestling Roster
15,,,,,,,,,,,,Victor J. Andrew,"Tinley Park, Ill.",,,,,,,Sean McMahon,,,,,133,,,,So.,,2014-15  Wrestling Roster
16,,,,,,,,,,,,United Township,"East Moline, Ill.",,,,,,,Travis Miller,,,,,HWT,,,,Fr.,,2014-15  Wrestling Roster
17,,,,,,,,,,,,Lane Tech,"Chicago, Ill.",,,,,,,Dan Murray 2,,,,,184,,,,Jr.,,2014-15  Wrestling Roster
18,,,,,,,,,,,,Rock Island,"Rock Island, Ill.",,,,,,,Nick Niles,,,,,197,,,,Fr.,,2014-15  Wrestling Roster
19,,,,,,,,,,,,Sandburg,"Orland Park, Ill.",,,,,,,Jimmy Panozzo 2,,,,,125,,,,Jr.,,2014-15  Wrestling Roster
20,,,,,,,,,,,,Assumption,"Davenport, Iowa",,,,,,,Thomas Reyhons 2,,,,,184,,,,Sr.,,2014-15  Wrestling Roster
21,,,,*,,,,,,,,Grandville,"Wyoming, Mich.",,,,,,,Jordan Richardson 3,,,,,174,,,,Sr.,,2014-15  Wrestling Roster
22,,,,*,,,,,,,,East Aurora,"Aurora, Ill.",,,,,,,Hector Ruiz 3,,,,,157,,,,Sr.,,2014-15  Wrestling Roster
23,,,,,,,,,,,,St. Francis,"Traverse City, Mich.",,,,,,,Isaiah Schaub 2,,,,,149,,,,Jr.,,2014-15  Wrestling Roster
24,,,,,,,,,,,,Riverside-Brookfield,"Riverside, Ill.",,,,,,,John Schraidt 3,,,,,HWT,,,,Sr.,,2014-15  Wrestling Roster
25,,,,,,,,,,,,Munster,"Munster, Ind.",,,,,,,John Seaman 3,,,,,HWT,,,,Sr.,,2014-15  Wrestling Roster
26,,,,,,,,,,,,Marist,"New Lenox, Ill.",,,,,,,Matt Sears,,,,,157,,,,So.,,2014-15  Wrestling Roster
27,,,,,,,,,,,,Fossil Ridge,"Fort Worth, TX.",,,,,,,Hakim Sims,,,,,125,,,,Fr.,,2014-15  Wrestling Roster
28,,,,,,,,,,,,JK Mullen,"Denver, Colo.",,,,,,,Donald Sisneros,,,,,133,,,,Fr.,,2014-15  Wrestling Roster
29,,,,,,,,,,,,Glenbard West,"Glen Ellyn, Ill.",,,,,,,CJ Sojka,,,,,133/141,,,,So.,,2014-15  Wrestling Roster
30,,,,,,,,,,,,Cascade,"Coatesville, Ind.",,,,,,,Lukas Stoutenour,,,,,HWT,,,,Fr.,,2014-15  Wrestling Roster
31,,,,,,,,,,,,Downers Grove North,"Downers Grove, Ill.",,,,,,,David Tessiatore 3,,,,,157/149,,,,Sr.,,2014-15  Wrestling Roster
32,,,,,,,,,,,,Arlington,"Marysville, Wash.",,,,,,,Bryce Thomas,,,,,141/149,,,,Fr.,,2014-15  Wrestling Roster
33,,,,,,,,,,,,Geneva,"Geneva, Ill.",,,,,,,Eric Timko 3,,,,,174,,,,Sr.,,2014-15  Wrestling Roster
34,,,,,,,,,,,,Assumption,"Davenport, Iowa",,,,,,,Trace Timmons,,,,,157,,,,Fr.,,2014-15  Wrestling Roster
35,,,,,,,,,,,,Grandville,"Grandville, Mi.",,,,,,,Collin Tomkins,,,,,141,,,,Fr.,,2014-15  Wrestling Roster
36,,,,,,,,,,,,Lincoln-Way Central,"Manhattan, Ill.",,,,,,,Nick Torres,,,,,165,,,,Fr.,,2014-15  Wrestling Roster
37,,,,,,,,,,,,Cathedral Catholic,"San Diego, Ca.",,,,,,,Jacob Watson,,,,,133/141,,,,Fr.,,2014-15  Wrestling Roster
38,,,,,,,,,,,,Carl Sandburg,"Orland Park, Ill.",,,,,,,Alec Welgat,,,,,149/157,,,,Fr.,,2014-15  Wrestling Roster
39,,,,,,,,,,,,Sherrard,"Viola, Ill.",,,,,,,Seth Whan 3,,,,,174,,,,Sr.,,2014-15  Wrestling Roster
40,,,,,,,,,,,,Ottawa,"Ottawa, Ill.",,,,,,,Zach Wheeler,,,,,149,,,,Sr.,,2014-15  Wrestling Roster
0,,,,,,,,,,,,Oregon,"Oregon, Ill.",5-6,,,,,,Devyn Absher 0,1,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
1,,,,,,,,,,,,Nazareth Academy,"Chicago, Ill.",5-6,,,,,,Kayla Freeman,10,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
2,,,,,,,,,,,,Crystal Lake South,"Crystal Lake, Ill.",5-6,,,,,,Stephanie Oros 0,11,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
3,,,,,,,,,,,,Libertyville,"Libertyville, Ill.",5-5,,,,,,Jessica VanRoeyen 0,12,,G,,,,,,Fr.,,2014-15  Women\'s Basketball Roster
4,,,,,,,,,,,,Libertyville,"Green Oaks, Ill.",5-5,,,,,,Olivia Mayer 1,15,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
5,,,,,,,,,,,,Eureka,"Wildwood, Mo.",5-6,,,,,,Victoria Allen 0,20,,G,,,,,,Fr.,,2014-15  Women\'s Basketball Roster
6,,,,*,,,,,,,,Libertyville,"Libertyville, Ill.",5-7,,,,,,Valerie VanRoeyen 2,21,,G,,,,,,Sr.,,2014-15  Women\'s Basketball Roster
7,,,,,,,,,,,,Ottawa Township,"Marseilles, Ill.",5-10,,,,,,Cassidy Rice 0,22,,F,,,,,,Fr.,,2014-15  Women\'s Basketball Roster
8,,,,,,,,,,,,Sherrard,"Viola, Ill.",5-7,,,,,,Carly Adams 0,23,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
9,,,,,,,,,,,,Plainfield East,"Romeoville, Ill.",5-5,,,,,,Dominique Hartsfield 0,24,,G,,,,,,Jr.,,2014-15  Women\'s Basketball Roster
10,,,,*,,,,,,,,Hinsdale South,"Burr Ridge, Ill.",5-10,,,,,,Andrea McNally 2,30,,G,,,,,,Jr.,,2014-15  Women\'s Basketball Roster
11,,,,,,,,,,,,United Township,"Silvis, Ill.",5-4,,,,,,Jamie VanWatermeulen 0,31,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
12,,,,,,,,,,,,Marian Central Catholic,"Johnsburg, Ill",5-8,,,,,,Meagan Murphy 1,32,,F,,,,,,Sr.,,2014-15  Women\'s Basketball Roster
13,,,,,,,,,,,,United Township,"Silvis, Ill.",5-4,,,,,,Jen VanWatermeulen 0,33,,G,,,,,,So.,,2014-15  Women\'s Basketball Roster
14,,,,,,,,,,,,Addison Trail,"Wood Dale, Ill.",6-0,,,,,,Marissa Pezzopane 2,34,,C,,,,,,Jr.,,2014-15  Women\'s Basketball Roster
15,,,,,,,,,,,,Joseph A. Craig,"Janesville, Wi.",5-9,,,,,,Katie Villa 1,40,,C,,,,,,So.,,2014-15  Women\'s Basketball Roster
16,,,,,,,,,,,,St. Edwards Central Catholic,"Streamwood, Ill.",5-11,,,,,,Maddie Kerr 2,41,,F,,,,,,Jr.,,2014-15  Women\'s Basketball Roster
17,,,,,,,,,,,,Sacred Heart-Griffin,"Springfield, Ill.",5-8,,,,,,Tiffany Bertoni,42,,G,,,,,,Fr.,,2014-15  Women\'s Basketball Roster
0,,R/R,,,,,,,,,,Moline,"Moline, Ill.",5-2,,,,,,Taylor Ambrozi,2,,INF,,,,,,Jr.,,2015 Softball Roster
1,,R/R,,,,,,,,,,Lockport,Lockport Ill.,5-4,,,,,,Jordan Arndt,3,,OF,,,,,,Fr.,,2015 Softball Roster
2,,L-L,,,,,,,,,,St. Francis,"Roselle, Ill.",5-5,,,,,,Laura Behnke 3,4,,OF,,,,,,Sr.,,2015 Softball Roster
3,,R/R,,,,,,,,,,Morris,"Morris, Ill.",5-5,,,,,,Lauren Severson,5,,INF,,,,,,Fr.,,2015 Softball Roster
4,,R-R,,,,,,,,,,Morrison,"Morrison, Ill.",5-10,,,,,,Christie Wiersema 3,6,,UT,,,,,,Sr.,,2015 Softball Roster
5,,,,,,,,,,,,Moline,"Moline, Ill.",5-5,,,,,,Emily Rasche,7,,OF,,,,,,Jr.,,2015 Softball Roster
6,,L-L,,,,,,,,,,Sherrard,"Viola, Ill.",5-8,,,,,,Ashley Anderson 2,8,,P,,,,,,Jr.,,2015 Softball Roster
7,,R/R,,,,,,,,,,Broomfield,"Broomfield, Colo.",5-11,,,,,,Shelby Grandt,9,,P/1B,,,,,,Fr.,,2015 Softball Roster
8,,L/L,,,,,,,,,,Galesburg,"St. Augustine, Ill.",5-2,,,,,,Jordan Marshall,10,,C,,,,,,Jr.,,2015 Softball Roster
9,,R-R,,,,,,,,,,Belleville West,"Millstadt, Ill.",5-5,,,,,,Kendra Rakers 2,11,,P/INF,,,,,,Jr.,,2015 Softball Roster
10,,R/R,,,,,,,,,,Geneseo,"Silvis, Ill.",5-11,,,,,,Kassandra Anderson,12,,OF,,,,,,Jr.,,2015 Softball Roster
11,,R-R,,,,,,,,,,Trinity,"Chicago, Ill.",5-8,,,,,,Ashley Klauss 1,13,,INF,,,,,,So.,,2015 Softball Roster
12,,L-R,,,,,,,,,,Jacobs,"Algonquin, Ill.",5-4,,,,,,Jenna Teson 3,14,,2B,,,,,,Sr.,,2015 Softball Roster
13,,L-R,,,,,,,,,,Plainfield Central,"Plainfield, Ill.",5-5,,,,,,Alison Mangino,15,,INF,,,,,,Fr.,,2015 Softball Roster
14,,R-R,,,,,,,,,,Lincoln-Way East,"Mokena, Ill.",5-8,,,,,,Jennifer Gray 2,16,,OF,,,,,,Jr.,,2015 Softball Roster
15,,R-R,,,,,,,,,,Geneva,"Geneva, Ill.",5-7,,,,,,Amanda Ebert 1,17,,OF,,,,,,So.,,2015 Softball Roster
16,,R/R,,,,,,,,,,Silver Creek,"Longmont, Colo.",5-6,,,,,,Keegan Wergin,18,,OF,,,,,,Fr.,,2015 Softball Roster
17,,R-R,,,,,,,,,,Niles West,"Lincolnwood, Ill.",5-4,,,,,,Krista Dawson 1,19,,P/INF,,,,,,So.,,2015 Softball Roster
18,,R/R,,,,,,,,,,Moline,"Moline, Ill.",5-3,,,,,,Alaina Hofmann,20,,P/INF,,,,,,Fr.,,2015 Softball Roster
19,,R-R,,,,,,,,,,Downers Grove South,"Downers Grove, Ill.",5-3,,,,,,Chelsea Lavin 3,21,,OF,,,,,,Sr.,,2015 Softball Roster
20,,R/R,,,,,,,,,,Lockport,Lockport Ill.,5-4,,,,,,Haylie Arndt,22,,INF,,,,,,Fr.,,2015 Softball Roster
21,,L/L,,,,,,,,,,Prairie Ridge,"Cary, Ill.",5-3,,,,,,Kate Didier,23,,INF,,,,,,Fr.,,2015 Softball Roster
22,,R-R,,,,,,,,,,The Woodlands,"The Woodlands, TX",5-7,,,,,,Brittany Kellett 1,24,,C,,,,,,So.,,2015 Softball Roster
23,,R-R,,,,,,,,,,Normal West,"Hudson, Ill.",5-6,,,,,,Cassie Saufley 1,25,,1B/OF,,,,,,Sr.,,2015 Softball Roster
24,,R-R,,,,,,,,,,Normal West,"Normal, Ill.",5-6,,,,,,Christina Pagan 2,26,,C,,,,,,Sr.,,2015 Softball Roster
25,,R/R,,,,,,,,,,Rock Canyon,"Denver, Colo.",5-4,,,,,,Zayne Blumberg,27,,C,,,,,,Fr.,,2015 Softball Roster
26,,R-R,,,,,,,,,,Lincoln-Way East,"Mokena, Ill.",5-8,,,,,,Allie Bettenhausen 1,28,,P,,,,,,So.,,2015 Softball Roster
27,,R/R,,,,,,,,,,Palatine,"Palatine, Ill.",5-5,,,,,,Courtney English,30,,INF,,,,,,Fr.,,2015 Softball Roster
0,,R-R,,,,,,,,,,North,"Naperville, Ill.",5-9,,,,,,John Sagen,1,,OF,,165,,,,Fr.,,2015 Baseball Roster
1,,R-R,,,,,,,,,,Central DeWitt,"DeWitt, Iowa",6-0,,,,,,Brandon Jasper 3,2,,OF,,190,,,,Sr.,,2015 Baseball Roster
2,,L-R,,,,,,,,,,Harlem,"Loves Park, Ill.",5-10,,,,,,Alex Fluehr 1,3,,INF,,165,,,,Jr.,,2015 Baseball Roster
3,,R-R,,,,,,,,,,Geneva,"Geneva, Ill.",6-1,,,,,,John Swiderski 2,4,,C,,200,,,,Jr.,,2015 Baseball Roster
4,,L-R,,,,,,,,,,Sherrard,"Sherrard, Ill.",6-0,,,,,,Trace Gingerich 2,5,,INF,,180,,,,Jr.,,2015 Baseball Roster
